date,NIFTY NEXT 50
2017-02-21,32349.86
2017-02-22,32155.08
2017-02-23,32041.96
2017-02-27,32006.04
2017-02-28,32104.42
2017-03-01,32200.37
2017-03-02,31734.32
2017-03-03,31719.17
2017-03-06,31899.77
2017-03-07,31869.79
2017-03-08,31764.82
2017-03-09,31719.74
2017-03-10,31657.17
2017-03-14,32162.70
2017-03-15,32368.19
2017-03-16,32839.38
2017-03-17,32826.08
2017-03-20,32831.11
2017-03-21,32649.75
2017-03-22,32345.63
2017-03-23,32669.30
2017-03-24,32719.16
2017-03-27,32582.51
2017-03-28,32833.64
2017-03-29,32894.93
2017-03-30,33050.19
2017-03-31,33190.87
2017-04-03,33319.97
2017-04-05,33664.75
2017-04-06,33774.80
2017-04-07,33763.61
2017-04-10,34003.44
2017-04-11,34287.54
2017-04-12,34344.29
2017-04-13,34287.07
2017-04-17,34208.64
2017-04-18,33845.22
2017-04-19,34070.33
2017-04-20,34192.80
2017-04-21,34270.92
2017-04-24,34558.27
2017-04-25,35087.38
2017-04-26,35015.87
2017-04-27,34848.30
2017-04-28,34905.77
2017-05-02,35083.41
2017-05-03,35062.07
2017-05-04,35158.84
2017-05-05,34665.32
2017-05-08,34815.22
2017-05-09,35093.38
2017-05-10,35546.39
2017-05-11,35603.35
2017-05-12,35438.32
2017-05-15,35735.20
2017-05-16,35732.18
2017-05-17,35562.10
2017-05-18,34834.28
2017-05-19,34632.88
2017-05-22,34342.57
2017-05-23,33883.90
2017-05-24,33372.50
2017-05-25,33715.17
2017-05-26,34478.97
2017-05-29,34139.90
2017-05-30,34392.91
2017-05-31,34537.97
2017-06-01,34628.19
2017-06-02,34839.36
2017-06-05,35107.83
2017-06-06,34852.02
2017-06-07,35061.93
2017-06-08,35174.23
2017-06-09,35305.81
2017-06-12,35253.31
2017-06-13,35289.33
2017-06-14,35186.72
2017-06-15,35143.60
2017-06-16,35243.26
2017-06-19,35374.70
2017-06-20,35422.18
2017-06-21,35435.24
2017-06-22,35196.37
2017-06-23,34745.86
2017-06-27,34493.85
2017-06-28,34589.44
2017-06-29,34608.10
2017-06-30,34874.15
2017-07-03,35317.14
2017-07-04,35263.89
2017-07-05,35543.32
2017-07-06,35698.89
2017-07-07,35705.92
2017-07-10,36019.18
2017-07-11,35796.33
2017-07-12,36124.48
2017-07-13,36428.71
2017-07-14,36443.66
2017-07-17,36494.50
2017-07-18,36261.95
2017-07-19,36749.86
2017-07-20,36605.33
2017-07-21,36708.30
2017-07-24,36753.08
2017-07-25,36855.28
2017-07-26,36888.86
2017-07-27,36692.65
2017-07-28,36933.99
2017-07-31,37151.18
2017-08-01,37084.91
2017-08-02,36897.69
2017-08-03,36972.61
2017-08-04,37416.77
2017-08-07,37923.95
2017-08-08,37462.21
2017-08-09,36806.28
2017-08-10,35798.75
2017-08-11,35770.48
2017-08-14,36568.35
2017-08-16,36928.10
2017-08-17,36906.89
2017-08-18,36833.70
2017-08-21,36249.72
2017-08-22,36058.37
2017-08-23,36555.23
2017-08-24,36872.15
2017-08-28,37231.33
2017-08-29,36829.23
2017-08-30,37388.48
2017-08-31,37371.97
2017-09-01,37750.20
2017-09-04,37543.47
2017-09-05,37750.67
2017-09-06,37801.88
2017-09-07,38084.71
2017-09-08,37809.75
2017-09-11,38096.70
2017-09-12,38448.09
2017-09-13,38316.67
2017-09-14,38468.10
2017-09-15,38381.10
2017-09-18,38527.56
2017-09-19,38633.32
2017-09-20,38528.08
2017-09-21,38272.64
2017-09-22,37274.70
2017-09-25,36789.66
2017-09-26,36875.71
2017-09-27,36188.37
2017-09-28,36300.06
2017-09-29,36756.78
2017-10-03,37104.29
2017-10-04,37171.48
2017-10-05,37280.89
2017-10-06,37580.04
2017-10-09,37637.39
2017-10-10,37867.41
2017-10-11,37631.65
2017-10-12,38050.45
2017-10-13,38112.57
2017-10-16,38207.32
2017-10-17,38389.01
2017-10-18,38332.32
2017-10-19,38129.76
2017-10-23,38320.38
2017-10-24,38247.84
2017-10-25,38732.72
2017-10-26,38887.38
2017-10-27,39156.26
2017-10-30,39581.87
2017-10-31,39541.04
2017-11-01,39890.09
2017-11-02,40050.96
2017-11-03,40082.30
2017-11-06,40351.91
2017-11-07,39739.66
2017-11-08,39430.83
2017-11-09,39691.02
2017-11-10,39609.19
2017-11-13,39331.77
2017-11-14,39206.85
2017-11-15,38754.27
2017-11-16,39202.71
2017-11-17,39743.82
2017-11-20,39784.36
2017-11-21,39848.21
2017-11-22,39793.12
2017-11-23,39778.90
2017-11-24,39950.06
2017-11-27,40063.79
2017-11-28,40124.93
2017-11-29,40112.20
2017-11-30,39761.92
2017-12-01,39365.10
2017-12-04,39389.92
2017-12-05,39419.39
2017-12-06,39029.33
2017-12-07,39686.57
2017-12-08,40073.96
2017-12-11,40187.91
2017-12-12,39787.27
2017-12-13,39399.38
2017-12-14,39415.07
2017-12-15,39750.69
2017-12-18,40131.13
2017-12-19,40707.01
2017-12-20,40716.44
2017-12-21,40909.56
2017-12-22,41096.30
2017-12-26,41276.74
2017-12-27,41077.07
2017-12-28,41097.33
2017-12-29,41363.23
2018-01-01,41276.37
2018-01-02,41141.05
2018-01-03,41375.24
2018-01-04,41812.08
2018-01-05,42340.39
2018-01-08,42639.05
2018-01-09,42455.19
2018-01-10,42382.87
2018-01-11,42339.96
2018-01-12,42352.02
2018-01-15,42264.78
2018-01-16,41573.73
2018-01-17,41875.44
2018-01-18,41320.82
2018-01-19,41633.13
2018-01-22,41952.29
2018-01-23,42251.13
2018-01-24,42000.48
2018-01-25,41432.74
2018-01-29,41269.94
2018-01-30,41031.04
2018-01-31,40747.70
2018-02-01,40780.46
2018-02-02,39620.34
2018-02-05,39490.19
2018-02-06,38936.00
2018-02-07,39219.65
2018-02-08,39862.89
2018-02-09,39731.41
2018-02-12,40323.34
2018-02-14,40241.03
2018-02-15,39916.57
2018-02-16,39481.04
2018-02-19,39053.65
2018-02-20,39245.10
2018-02-21,39091.48
2018-02-22,38729.86
2018-02-23,39339.46
2018-02-26,39701.98
2018-02-27,39552.73
2018-02-28,39377.45
2018-03-01,39107.21
2018-03-05,38691.92
2018-03-06,38340.78
2018-03-07,37904.76
2018-03-08,37878.81
2018-03-09,37894.33
2018-03-12,38179.71
2018-03-13,38655.61
2018-03-14,38701.11
2018-03-15,38718.08
2018-03-16,38373.35
2018-03-19,37803.34
2018-03-20,37990.24
2018-03-21,38151.23
2018-03-22,38006.05
2018-03-23,37773.60
2018-03-26,38345.83
2018-03-27,38662.83
2018-03-28,38273.36
2018-04-02,39036.24
2018-04-03,39495.21
2018-04-04,39044.70
2018-04-05,39757.86
2018-04-06,40222.38
2018-04-09,40236.54
2018-04-10,40184.33
2018-04-11,40241.70
2018-04-12,40175.69
2018-04-13,40161.90
2018-04-16,40374.58
